iata,name,city,state,country,latitude,longitude
40019,Carter,,OK,US,34.2508433,-97.28580139
48097,Cooke,,TX,US,33.63926014,-97.21258729
48263,Kent,,TX,US,33.18131269,-100.7776243
5091,Miller,,AR,US,33.31209067,-93.89155271
48039,Brazoria,,TX,US,29.18965497,-95.45192577
48081,Coke,,TX,US,31.88860759,-100.5298803
48147,Fannin,,TX,US,33.59383164,-96.10686472
48229,Hudspeth,,TX,US,31.45623373,-105.3864675
22033,East Baton Rouge,,LA,US,30.53825126,-91.09560315
48005,Angelina,,TX,US,31.2547741,-94.61185398
48061,Cameron,,TX,US,26.1334522,-97.51799288
48067,Cass,,TX,US,33.07753587,-94.34354434
48219,Hockley,,TX,US,33.60762985,-102.3431891
48293,Limestone,,TX,US,31.5454568,-96.58050712
48449,Titus,,TX,US,33.21658117,-94.96568536
5139,Union,,AR,US,33.17130192,-92.59726944
22097,St. Landry,,LA,US,30.59884607,-92.00586173
48013,Atascosa,,TX,US,28.8935092,-98.52715241
48169,Garza,,TX,US,33.17986645,-101.2984568
48277,Lamar,,TX,US,33.66725053,-95.57119722
48377,Presidio,,TX,US,29.99975851,-104.2405136
48399,Runnels,,TX,US,31.83111829,-99.97619278
48429,Stephens,,TX,US,32.73587163,-98.83618396
48473,Waller,,TX,US,30.0108084,-95.98765023
48501,Yoakum,,TX,US,33.17299442,-102.827783
5059,Hot Spring,,AR,US,34.31762874,-92.94594016
40143,Tulsa,,OK,US,36.12108603,-95.94146841
48187,Guadalupe,,TX,US,29.5830584,-97.94858615
48343,Morris,,TX,US,33.11346808,-94.73263732
22027,Claiborne,,LA,US,32.82263508,-92.99575993
22055,Lafayette,,LA,US,30.20674465,-92.06387515
35009,Curry,,NM,US,34.57423182,-103.3469955
48093,Comanche,,TX,US,31.94796879,-98.55822762
48409,San Patricio,,TX,US,28.00914673,-97.51869289
48433,Stonewall,,TX,US,33.17918976,-100.253364
5085,Lonoke,,AR,US,34.75425622,-91.8886733
22069,Natchitoches,,LA,US,31.72353781,-93.09622461
35017,Grant,,NM,US,32.73887361,-108.3824025
40081,Lincoln,,OK,US,35.70296411,-96.88091809
48283,La Salle,,TX,US,28.34514357,-99.09958589
48325,Medina,,TX,US,29.35569304,-99.11016729
48405,San Augustine,,TX,US,31.39421774,-94.16818653
5117,Prairie,,AR,US,34.82979854,-91.55279743
22105,Tangipahoa,,LA,US,30.62662974,-90.40567708
22121,West Baton Rouge,,LA,US,30.46341284,-91.31273518
40049,Garvin,,OK,US,34.70456251,-97.3093234
48071,Chambers,,TX,US,29.73859764,-94.6110006
48099,Coryell,,TX,US,31.39090691,-97.79922004
48163,Frio,,TX,US,28.8677854,-99.10820434
48197,Hardeman,,TX,US,34.29024537,-99.74569206
48265,Kerr,,TX,US,30.06145526,-99.35001216
48375,Potter,,TX,US,35.40129099,-101.8939266
48395,Robertson,,TX,US,31.02705403,-96.51279027
5027,Columbia,,AR,US,33.21429832,-93.22731371
22063,Livingston,,LA,US,30.44014952,-90.72789748
22099,St. Martin,,LA,US,30.12908921,-91.60830334
40017,Canadian,,OK,US,35.54244313,-97.9823711
40035,Craig,,OK,US,36.76172543,-95.20848408
40051,Grady,,OK,US,35.01694168,-97.88411648
40091,McIntosh,,OK,US,35.37366087,-95.66681809
40121,Pittsburg,,OK,US,34.92393379,-95.74836557
48043,Brewster,,TX,US,29.81194101,-103.2517409
48191,Hall,,TX,US,34.53078602,-100.6811091
48225,Houston,,TX,US,31.31773296,-95.42268102
48267,Kimble,,TX,US,30.48679744,-99.74868811
48297,Live Oak,,TX,US,28.35140099,-98.12482865
48341,Moore,,TX,US,35.83771455,-101.8929871
48379,Rains,,TX,US,32.87034393,-95.79340117
48381,Randall,,TX,US,34.96587579,-101.8970485
48465,Val Verde,,TX,US,29.89294989,-101.1517378
5093,Mississippi,,AR,US,35.7638336,-90.05420095
5145,White,,AR,US,35.25627781,-91.7455496
22003,Allen,,LA,US,30.65291854,-92.8279186
22103,St. Tammany,,LA,US,30.41022617,-89.9583012
35005,Chaves,,NM,US,33.36327779,-104.4669079
35019,Guadalupe,,NM,US,34.86330572,-104.7906564
40005,Atoka,,OK,US,34.37372905,-96.0378243
40013,Bryan,,OK,US,33.96232617,-96.25979272
40031,Comanche,,OK,US,34.66209885,-98.47166167
40071,Kay,,OK,US,36.81800197,-97.14395855
40089,McCurtain,,OK,US,34.11540039,-94.77127654
40145,Wagoner,,OK,US,35.96108921,-95.52118349
48055,Caldwell,,TX,US,29.83709225,-97.61999433
48075,Childress,,TX,US,34.52914004,-100.2076179
48077,Clay,,TX,US,33.7855075,-98.20851378
48145,Falls,,TX,US,31.25327535,-96.93586082
48167,Galveston,,TX,US,29.39308628,-94.96288314
48189,Hale,,TX,US,34.07050536,-101.8268848
48259,Kendall,,TX,US,29.94465924,-98.71155152
48313,Madison,,TX,US,30.96554203,-95.92842232
48355,Nueces,,TX,US,27.72553964,-97.61304231
48469,Victoria,,TX,US,28.79635428,-96.97151983
48477,Washington,,TX,US,30.21452419,-96.40344082
5057,Hempstead,,AR,US,33.73532332,-93.66847441
22047,Iberville,,LA,US,30.25848996,-91.34933844
22049,Jackson,,LA,US,32.30205969,-92.55778384
22067,Morehouse,,LA,US,32.82021594,-91.80178763
22071,Orleans,,LA,US,30.0686862,-89.92883167
35001,Bernalillo,,NM,US,35.05134127,-106.6701646
40033,Cotton,,OK,US,34.29016491,-98.3722153
40085,Love,,OK,US,33.94988673,-97.24413092
40087,McClain,,OK,US,35.00933605,-97.44430464
40097,Mayes,,OK,US,36.3018662,-95.2308455
48031,Blanco,,TX,US,30.26635537,-98.39987955
48083,Coleman,,TX,US,31.77320727,-99.45363425
48089,Colorado,,TX,US,29.62082122,-96.5262677
48117,Deaf Smith,,TX,US,34.96603186,-102.6049839
48123,DeWitt,,TX,US,29.08206563,-97.35674315
48129,Donley,,TX,US,34.96543711,-100.8139823
48193,Hamilton,,TX,US,31.7048081,-98.11069179
48249,Jim Wells,,TX,US,27.73135077,-98.08986677
48255,Karnes,,TX,US,28.90572925,-97.85938066
48281,Lampasas,,TX,US,31.19620955,-98.24144938
48287,Lee,,TX,US,30.31065368,-96.96569099
48445,Terry,,TX,US,33.17380586,-102.3351616
48487,Wilbarger,,TX,US,34.08077323,-99.24099269
40101,Muskogee,,OK,US,35.61615094,-95.37959186
48119,Delta,,TX,US,33.38627687,-95.67233843
48245,Jefferson,,TX,US,29.8840516,-94.16292952
48307,McCulloch,,TX,US,31.19887004,-99.3475465
