origin,destination,count
ABE,ATL,853
48093,48353,4
48097,22017,4
48097,48251,4
48113,48487,4
48113,40035,4
48113,48451,4
48113,5085,4
48113,48049,4
48113,48459,4
48113,48297,4
48113,5123,4
48113,22061,4
48113,22083,4
48121,48453,4
48133,48139,4
48133,48143,4
48133,48253,4
48133,48317,4
48135,48363,4
48135,48081,4
48135,48253,4
48135,48029,4
48139,48203,4
48139,48363,4
48139,5019,4
48143,48133,4
48143,48329,4
48143,48257,4
48145,48367,4
48145,48113,4
48159,48091,4
48161,48497,4
48161,48183,4
48167,48439,4
48173,48441,4
48173,48103,4
48181,48257,4
48183,48037,4
48183,48251,4
48183,48349,4
48183,48231,4
48187,48223,4
48189,48353,4
48201,48467,4
48201,48139,4
48201,48277,4
48201,48067,4
48203,22013,4
48203,22085,4
48203,48441,4
48203,48201,4
48203,48213,4
48203,48085,4
48203,22073,4
48213,48367,4
48215,48449,4
48217,5123,4
48217,48121,4
48217,5059,4
48223,48325,4
48223,48187,4
48223,48209,4
48225,48439,4
48227,48301,4
48227,35029,4
48227,48049,4
48231,48491,4
48231,48367,4
48243,48329,4
48251,48223,4
48251,48303,4
48257,48073,4
48257,48441,4
48257,48217,4
48257,22083,4
48257,48497,4
48257,48499,4
48259,48329,4
48259,48135,4
48265,48135,4
48277,48439,4
48277,48251,4
48289,48497,4
48303,48451,4
48309,48423,4
48309,48183,4
48309,48415,4
48309,48467,4
48313,48113,4
48315,22017,4
48317,48133,4
48325,48223,4
48329,40033,4
48329,48043,4
48329,40031,4
48329,48497,4
48335,48439,4
48335,48133,4
48335,48467,4
48337,48113,4
48339,48257,4
48339,48121,4
48339,5091,4
48343,22017,4
48347,48439,4
48349,48183,4
48353,48399,4
48353,48083,4
48353,48207,4
48353,48159,4
48355,48329,4
48363,48217,4
48363,22017,4
48363,48135,4
48365,48467,4
48367,48049,4
48367,48231,4
48367,5099,4
48367,48001,4
48367,48485,4
48367,22015,4
48367,48343,4
48371,48301,4
48371,48441,4
48379,48257,4
48383,48439,4
48389,48335,4
48397,48363,4
48397,48073,4
48397,48213,4
48397,48309,4
48399,48441,4
48399,48303,4
48401,48499,4
48401,48085,4
48415,48253,4
48415,48309,4
48415,48399,4
48415,48059,4
48419,48459,4
48423,48217,4
48423,48027,4
48423,48353,4
48423,48005,4
48423,5139,4
48429,48439,4
48429,48059,4
48431,48003,4
48439,48303,4
48439,48313,4
48439,48073,4
48439,48209,4
48439,48399,4
48439,48035,4
48441,40033,4
48441,48003,4
48449,22015,4
48449,48133,4
48451,35015,4
48453,48303,4
48453,48353,4
48453,48257,4
48459,48257,4
48461,48115,4
48467,48499,4
48467,48227,4
48467,22119,4
48467,48485,4
48467,48217,4
48467,48487,4
48467,48251,4
48467,48353,4
48469,48329,4
48473,48441,4
48475,48439,4
48477,48329,4
48479,48135,4
48479,5123,4
48479,5059,4
48479,48303,4
48485,48201,4
48491,48449,4
48491,48121,4
48491,5099,4
48497,48203,4
48497,22017,4
48497,48467,4
48497,48133,4
48497,48423,4
48499,48213,4
48501,48135,4
5019,48363,3
5019,48491,3
5035,48029,3
5035,48491,3
5057,48113,3
5057,48423,3
5057,48217,3
5059,48027,3
5085,48139,3
5085,48113,3
5085,48439,3
5085,48133,3
5091,48441,3
5091,48201,3
5091,48091,3
5093,48309,3
5093,48139,3
5099,48439,3
5099,48423,3
5099,48491,3
5117,48183,3
5117,48217,3
5119,48251,3
5125,48029,3
22013,48257,3
22013,48439,3
22015,48001,3
22017,48059,3
22017,40085,3
22017,48363,3
22031,22017,3
22033,48439,3
22047,48439,3
22049,48203,3
22065,48133,3
22067,48183,3
22069,48467,3
22071,48423,3
22071,48113,3
22073,48231,3
22079,48203,3
22079,48401,3
22079,48497,3
22083,48363,3
22083,48401,3
22083,48121,3
22097,48257,3
22103,48203,3
22105,48423,3
22119,48401,3
22119,48213,3
22119,48363,3
22121,48257,3
35001,48353,3
35001,48441,3
35013,48133,3
35013,48441,3
35013,48059,3
35013,48335,3
35015,48439,3
35025,35015,3
35025,48451,3
35025,48103,3
40005,48257,3
40005,48139,3
40013,48029,3
40013,48439,3
40017,48439,3
40017,48135,3
40019,48367,3
40019,48423,3
40033,48227,3
40049,48439,3
40049,48349,3
40051,48423,3
40085,48113,3
40087,48329,3
40091,48113,3
40097,48113,3
40097,48217,3
40109,48135,3
40143,48227,3
40143,48135,3
48001,48423,3
48001,48367,3
48001,48257,3
48003,48133,3
48005,48367,3
48005,5091,3
48027,48183,3
48027,5099,3
48029,48441,3
48029,48449,3
48029,5119,3
48031,48367,3
48033,48475,3
48037,48401,3
48037,48091,3
48039,48329,3
48059,48003,3
48059,48221,3
48059,48093,3
48067,48467,3
48073,22119,3
48077,48289,3
48081,48441,3
48081,48415,3
48083,48353,3
48085,48203,3
48089,48113,3
48091,48397,3
48091,40005,3
48091,48231,3
48093,48329,3
48097,48367,3
48097,48139,3
48099,48113,3
48109,48113,3
48113,48041,3
48113,5059,3
48113,48335,3
48113,48119,3
48113,40091,3
48113,48245,3
48113,22099,3
48113,48243,3
48115,48441,3
48115,48317,3
48115,48103,3
48117,48353,3
48121,48309,3
48123,48329,3
48129,48257,3
48129,48139,3
48133,48229,3
48133,48037,3
48133,48231,3
48133,48183,3
48135,48309,3
48135,48395,3
48135,48115,3
48139,48139,3
48139,48441,3
48139,48213,3
48139,5145,3
48141,48371,3
48141,48439,3
48151,48227,3
48157,48329,3
48157,48085,3
48159,48439,3
48159,48363,3
48167,48329,3
48169,48135,3
48173,48173,3
48183,48309,3
48183,22027,3
48183,48077,3
48187,48037,3
48193,48439,3
48197,48201,3
48201,5091,3
48201,40019,3
48201,48221,3
48201,40049,3
48203,5099,3
48203,48059,3
48203,48133,3
48203,48159,3
48203,48347,3
48203,48067,3
48209,48257,3
48213,48223,3
48215,5091,3
48217,40121,3
48217,48441,3
48217,5035,3
48217,48467,3
48217,5085,3
48217,40101,3
48217,48363,3
48219,48389,3
48221,48139,3
48221,48329,3
48221,48257,3
48223,48363,3
48223,48491,3
48227,48251,3
48227,48223,3
48227,48139,3
48229,48059,3
48231,48133,3
48231,48349,3
48243,48475,3
48243,48227,3
48249,48329,3
48251,48231,3
48255,48329,3
48257,22055,3
48257,48223,3
48257,48227,3
48267,48303,3
48277,48139,3
48281,48113,3
48283,48037,3
48283,48329,3
48287,48439,3
48293,48367,3
48301,48173,3
48301,48059,3
48303,48029,3
48303,48363,3
48309,5125,3
48309,5119,3
48313,48439,3
48317,48093,3
48317,48439,3
48325,48439,3
48325,48397,3
48329,48221,3
48329,48307,3
48329,48083,3
48329,48183,3
48329,48203,3
48329,48085,3
48337,48139,3
48341,48139,3
48349,48077,3
48349,48223,3
48349,22017,3
48349,48121,3
48353,48037,3
48353,48223,3
48353,48375,3
48353,35015,3
48353,48097,3
48353,48169,3
48353,48093,3
48353,35029,3
48353,48473,3
48353,48397,3
48355,48135,3
48363,48335,3
48363,48257,3
48363,48303,3
48367,40019,3
48367,48027,3
48367,48451,3
48367,48293,3
48367,22061,3
48375,48139,3
48375,48441,3
48375,48135,3
48375,48329,3
48379,48183,3
48381,48113,3
48389,48397,3
48389,48439,3
48389,48431,3
48395,48367,3
48395,48439,3
48397,48085,3
48397,48091,3
48397,48441,3
48397,48121,3
48399,48121,3
48401,48365,3
48401,48459,3
48405,48203,3
48415,48475,3
48415,48389,3
48415,48133,3
48419,48113,3
48423,48133,3
48423,5091,3
48423,48181,3
48423,48251,3
48429,48133,3
48439,5019,3
48439,48347,3
48439,22061,3
48439,48039,3
48439,22079,3
48439,22065,3
48439,48379,3
48439,48091,3
48439,48193,3
48439,5091,3
48441,48399,3
48441,48267,3
48441,48423,3
48441,22017,3
48441,48183,3
48445,48059,3
48449,48209,3
48449,48091,3
48449,48439,3
48449,48027,3
48451,48003,3
48451,48367,3
48451,48133,3
48453,48441,3
48453,48203,3
48453,48423,3
48453,48183,3
48459,48005,3
48461,48451,3
48467,48059,3
48467,22097,3
48467,48335,3
48469,48497,3
48469,48113,3
48471,48085,3
48473,48329,3
48475,48303,3
48475,48335,3
48475,48113,3
48479,48353,3
48479,48257,3
48485,48329,3
48491,48367,3
48497,48471,3
48497,48121,3
